Molecule,Replicate,Ext_Reference,Area,Ratio_To_Standard,Amount ng/ml,Amount nmol/mL,Amount nmol/well,Amount nmol/1e6 cells seeded,Cells,Incubation_Time,Dose_Level,Dose_uM,Dose_IC,Dose_nmol/well
Diclofenac,14703031,DICLO_OZ_48h_P02_B5_D1,208710,0.0259,48.3132,0.151880541,0.045564162,0.455641622,no cells,48,1,50,IC01,25
Diclofenac,14703032,DICLO_OZ_48h_P02_C5_D2,1980013,0.2532,468.2081,1.471889657,0.441566897,4.415668972,no cells,48,2,320,IC50,160
Diclofenac,14703033,DICLO_OZ_48h_P02_D5_D3,2543717,0.3284,608.0323,1.911450173,0.573435052,5.734350519,no cells,48,3,1000,IC85,500
Diclofenac,14703034,DICLO_OZ_24h_P10_A5_VC,4356,0.0006,1.6969,0.005334486,0.001600346,0.016003458,no cells,24,C,0,Control,0
Diclofenac,14703035,DICLO_OZ_24h_P10_B5_D1,100163,0.0128,24.1515,0.075924238,0.022777271,0.227772713,no cells,24,1,50,IC01,25
Diclofenac,14703036,DICLO_OZ_24h_P10_C5_D2,563717,0.071,131.3321,0.412864194,0.123859258,1.238592581,no cells,24,2,320,IC50,160
Diclofenac,14703037,DICLO_OZ_24h_P10_D5_D3,1117926,0.1441,266.3038,0.837170072,0.251151022,2.511510217,no cells,24,3,1000,IC85,500
Diclofenac,14703038,DICLO_OZ_6h_P18_A5_VC,7867,0.001,2.5044,0.007872996,0.002361899,0.023618988,no cells,6,C,0,Control,0
Diclofenac,14703039,DICLO_OZ_6h_P18_B5_D1,118785,0.015,28.2997,0.088964791,0.026689437,0.266894373,no cells,6,1,50,IC01,25
Diclofenac,14703040,DICLO_OZ_6h_P18_C5_D2,778570,0.0987,182.4789,0.573652625,0.172095787,1.720957875,no cells,6,2,320,IC50,160
Diclofenac,14703041,DICLO_OZ_6h_P18_D5_D3,1946755,0.243,449.4443,1.412902546,0.423870764,4.238707639,no cells,6,3,1000,IC85,500
Diclofenac,14703042,DICLO_OZ_48h_P02_A4_VC,3907,0.0005,1.5703,0.004936498,0.001480949,0.014809494,no cells,48,C,0,Control,0
Diclofenac,14703043,DICLO_OZ_48h_P02_B4_D1,258423,0.0322,59.8286,0.188081107,0.056424332,0.56424332,no cells,48,1,50,IC01,25
