"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","data4modelReal"
"167","GSH",3,"KET",7,48,1.5,1.5,1.00824437930419
"168","GSH",3,"KET",8,60,1.5,1.5,1.00649460580052
"169","GSH",3,"KET",1,0,3,3,0.927920112199514
"170","GSH",3,"KET",2,3,3,3,1.01392794991938
"171","GSH",3,"KET",3,6,3,3,1.0236690783816
"172","GSH",3,"KET",4,12,3,3,1.02825352024123
"173","GSH",3,"KET",5,24,3,3,1.07002274923465
"174","GSH",3,"KET",6,36,3,3,1.08832490259875
"175","GSH",3,"KET",7,48,3,3,1.04349726111891
"176","GSH",3,"KET",8,60,3,3,1.0611522525846
"177","GSH",3,"KET",1,0,6,6,0.977890274564392
"178","GSH",3,"KET",2,3,6,6,1.05301339068988
"179","GSH",3,"KET",3,6,6,6,1.01898824258442
"180","GSH",3,"KET",4,12,6,6,1.09635550712814
"181","GSH",3,"KET",5,24,6,6,1.21905582699347
"182","GSH",3,"KET",6,36,6,6,1.14011273794646
"183","GSH",3,"KET",7,48,6,6,1.13379830146676
"184","GSH",3,"KET",8,60,6,6,1.07612578212225
"185","GSH",3,"KET",1,0,12.5,12.5,1.00051132935379
"186","GSH",3,"KET",2,3,12.5,12.5,1.04602957428468
"187","GSH",3,"KET",3,6,12.5,12.5,1.04472447483286
"188","GSH",3,"KET",4,12,12.5,12.5,1.12305775563112
"189","GSH",3,"KET",5,24,12.5,12.5,1.27764718130688
"190","GSH",3,"KET",6,36,12.5,12.5,1.18409807291227
"191","GSH",3,"KET",7,48,12.5,12.5,1.18585250340375
"192","GSH",3,"KET",8,60,12.5,12.5,1.15147043995713
"193","GSH",3,"KET",1,0,25,25,1.02977403433769
"194","GSH",3,"KET",2,3,25,25,1.02076564963945
"195","GSH",3,"KET",3,6,25,25,1.05191219739998
"196","GSH",3,"KET",4,12,25,25,1.18220305620118
"197","GSH",3,"KET",5,24,25,25,1.31577689133969
"198","GSH",3,"KET",6,36,25,25,1.2010235014636
"199","GSH",3,"KET",7,48,25,25,1.2430383531875
"200","GSH",3,"KET",8,60,25,25,1.12985278603498
"201","GSH",3,"KET",1,0,50,50,1.10732559658621
"202","GSH",3,"KET",2,3,50,50,1.02971264791327
"203","GSH",3,"KET",3,6,50,50,1.05324221445091
"204","GSH",3,"KET",4,12,50,50,1.23824126140801
"205","GSH",3,"KET",5,24,50,50,1.28458036078061
"206","GSH",3,"KET",6,36,50,50,1.16277881357883
"207","GSH",3,"KET",7,48,50,50,1.20945785522909
"208","GSH",3,"KET",8,60,50,50,1.09512136559892
"209","GSH",3,"KET",1,0,100,100,1.06235093864733
"210","GSH",3,"KET",2,3,100,100,0.958442222295425
"211","GSH",3,"KET",3,6,100,100,1.04575417730922
"212","GSH",3,"KET",4,12,100,100,1.24542119330419
"213","GSH",3,"KET",5,24,100,100,1.2948861750806
"214","GSH",3,"KET",6,36,100,100,1.12261518681247
"215","GSH",3,"KET",7,48,100,100,1.19180078893682
"216","GSH",3,"KET",8,60,100,100,1.0787348163839
